Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrArea,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,SaleCondition,SalePrice
366,70,RM,59,10690,Pave,Reg,Lvl,AllPub,IDOTRR,Norm,Norm,1Fam,2Story,5,7,1920,1997,Hip,0,456,Unf,0,216,672,Normal,147000
367,20,RL,NA,9500,Pave,IR1,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,247,609,Unf,0,785,1394,Normal,159000
368,80,RL,101,9150,Pave,IR1,Lvl,AllPub,NAmes,Norm,Norm,1Fam,SLvl,6,5,1962,1962,Gable,305,371,Unf,0,728,1099,Normal,165000
369,20,RL,78,7800,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,200,540,Unf,0,728,1268,Normal,132000
370,20,RL,NA,9830,Pave,IR1,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,2006,Gable,0,72,Rec,258,733,1063,Normal,162000
371,60,RL,NA,8121,Pave,IR1,Lvl,AllPub,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,0,0,Unf,0,953,953,Normal,172400
372,50,RL,80,17120,Pave,Reg,Lvl,AllPub,ClearCr,Feedr,Norm,1Fam,1.5Fin,4,4,1959,1959,Gable,0,0,NA,0,0,0,Normal,134432
373,120,RL,50,7175,Pave,Reg,Lvl,AllPub,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1984,1984,Gable,0,623,LwQ,121,0,744,Normal,125000
374,20,RL,79,10634,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,6,1953,1953,Gable,0,428,LwQ,180,0,608,Normal,123000
375,60,RL,65,8200,Pave,Reg,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2004,Gable,0,0,Unf,0,847,847,Normal,219500
376,30,RL,NA,10020,Pave,IR1,Low,AllPub,Edwards,Norm,Norm,1Fam,1Story,1,1,1922,1950,Gable,0,350,Unf,0,333,683,Normal,61000
377,85,RL,57,8846,Pave,IR1,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,SFoyer,5,5,1996,1996,Gable,0,298,Unf,0,572,870,Normal,148000
378,60,FV,102,11143,Pave,IR1,Lvl,AllPub,Somerst,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,0,0,Unf,0,1580,1580,Normal,340000
379,20,RL,88,11394,Pave,Reg,Lvl,AllPub,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,350,1445,Unf,0,411,1856,Partial,394432
380,60,RL,60,8123,Pave,IR1,Lvl,AllPub,Gilbert,RRAn,Norm,1Fam,2Story,6,5,2000,2000,Gable,16,0,Unf,0,982,982,Normal,179000
381,50,RL,50,5000,Pave,Reg,Lvl,AllPub,SWISU,Norm,Norm,1Fam,1.5Fin,5,6,1924,1950,Gable,0,218,Unf,0,808,1026,Normal,127000
382,20,FV,60,7200,Pave,Reg,Lvl,AllPub,Somerst,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,0,0,Unf,0,1293,1293,Partial,187750
383,60,RL,79,9245,Pave,IR1,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,0,0,Unf,0,939,939,Normal,213500
384,45,RH,60,9000,Pave,Reg,Lvl,AllPub,SawyerW,Norm,Norm,1Fam,1.5Unf,6,3,1928,1950,Gable,0,0,Unf,0,784,784,Normal,76000
385,60,RL,NA,53107,Pave,IR2,Low,AllPub,ClearCr,Feedr,Norm,1Fam,2Story,6,5,1992,1992,Gable,0,985,Unf,0,595,1580,Normal,240000
386,120,RL,43,3182,Pave,Reg,Lvl,AllPub,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,2004,2005,Gable,16,24,Unf,0,1232,1256,Normal,192000
387,50,RL,58,8410,Pave,Reg,Lvl,AllPub,Edwards,Feedr,Norm,1Fam,1.5Fin,5,3,1910,1996,Gambrel,0,0,Unf,0,658,658,AdjLand,81000
388,80,RL,72,7200,Pave,Reg,Lvl,AllPub,Edwards,Norm,Norm,1Fam,SLvl,6,6,1976,1976,Hip,255,631,Unf,0,410,1041,Abnorml,125000
389,20,RL,93,9382,Pave,IR1,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,2000,Gable,125,0,Unf,0,1468,1468,Normal,191000
390,60,RL,96,12474,Pave,Reg,Lvl,AllPub,NridgHt,Norm,Norm,1Fam,2Story,10,5,2007,2008,Gable,272,1280,Unf,0,402,1682,Partial,426000
391,50,RL,50,8405,Pave,Reg,Lvl,AllPub,Edwards,Norm,Norm,1Fam,1.5Fin,5,8,1900,1950,Gable,0,241,BLQ,391,229,861,Normal,119000
392,60,RL,71,12209,Pave,IR1,Lvl,AllPub,Mitchel,Norm,Norm,1Fam,2Story,6,5,2001,2002,Gable,0,690,Unf,0,114,804,Normal,215000
393,20,RL,,8339,Pave,IR1,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,1959,Gable,0,0,NA,0,0,0,Normal,106500
394,30,RL,NA,7446,Pave,Reg,Lvl,AllPub,BrkSide,Feedr,Norm,1Fam,1Story,4,5,1941,1950,Gable,0,266,Unf,0,522,788,Abnorml,100000
395,50,RL,60,10134,Pave,Reg,Lvl,AllPub,OldTown,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,0,0,Unf,0,735,735,Normal,109000
396,20,RL,68,9571,Pave,Reg,Lvl,AllPub,Edwards,Norm,Norm,1Fam,1Story,5,6,1956,1956,Gable,0,739,Unf,0,405,1144,Normal,129000
397,20,RL,60,7200,Pave,Reg,Low,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,5,1972,1972,Hip,0,777,Unf,0,117,894,Normal,123000
398,60,RL,69,7590,Pave,Reg,Lvl,AllPub,NAmes,PosN,Norm,1Fam,2Story,5,5,1962,1962,Gable,288,540,Unf,0,324,864,Normal,169500
399,30,RM,60,8967,Pave,Reg,Lvl,AllPub,IDOTRR,Norm,Norm,1Fam,1Story,5,2,1920,1950,Gable,0,0,Unf,0,961,961,Abnorml,67000
400,60,FV,65,8125,Pave,Reg,Lvl,AllPub,Somerst,Norm,Norm,1Fam,2Story,7,5,2006,2007,Gable,100,812,Unf,0,280,1092,Normal,241000
401,120,RL,38,14963,Pave,IR2,Lvl,AllPub,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1996,1996,Gable,0,786,Unf,0,474,1260,Normal,245500
402,20,RL,65,8767,Pave,IR1,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,0,24,Unf,0,1286,1310,Partial,164990
403,30,RL,60,10200,Pave,Reg,Lvl,AllPub,Sawyer,Norm,Norm,1Fam,1Story,5,8,1940,1997,Gable,0,0,Unf,0,672,672,Normal,108000
404,60,RL,93,12090,Pave,Reg,Lvl,AllPub,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,650,0,Unf,0,1141,1141,Abnorml,258000
405,60,RL,NA,10364,Pave,IR1,Lvl,AllPub,Gilbert,Norm,Norm,1Fam,2Story,6,5,1995,1996,Gable,0,0,Unf,0,806,806,Normal,168000
406,20,RL,NA,9991,Pave,IR1,Lvl,AllPub,Sawyer,Feedr,Norm,1Fam,1Story,4,4,1976,1993,Gable,0,1116,Unf,0,165,1281,Normal,150000
407,50,RL,51,10480,Pave,Reg,Lvl,AllPub,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1936,1950,Gable,0,0,Unf,0,1064,1064,Normal,115000
408,70,RL,63,15576,Pave,Reg,Lvl,AllPub,Crawfor,Norm,Norm,1Fam,2Story,6,7,1915,1976,Gable,0,0,Unf,0,840,840,Normal,177000
409,60,RL,109,14154,Pave,Reg,Lvl,AllPub,NridgHt,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,350,0,Unf,0,1063,1063,Partial,280000
410,60,FV,85,10800,Pave,Reg,Lvl,AllPub,Somerst,Norm,Norm,1Fam,2Story,8,5,2007,2008,Gable,100,789,Unf,0,245,1034,Partial,339750
411,20,RL,68,9571,Pave,Reg,Lvl,AllPub,Edwards,Norm,Norm,1Fam,1Story,5,3,1958,1958,Gable,0,0,Unf,0,1276,1276,Abnorml,60000
412,190,RL,100,34650,Pave,Reg,Bnk,AllPub,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,0,1056,Unf,0,0,1056,Normal,145000
413,20,FV,NA,4403,Pave,IR2,Lvl,AllPub,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2009,Gable,432,578,Unf,0,892,1470,Partial,222000
414,30,RM,56,8960,Pave,Reg,Lvl,AllPub,OldTown,Artery,Norm,1Fam,1Story,5,6,1927,1950,Gable,0,0,Unf,0,1008,1008,Normal,115000
415,60,RL,59,11228,Pave,IR2,Lvl,AllPub,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1993,Gable,0,50,GLQ,531,499,1080,Normal,228000
416,20,RL,73,8899,Pave,IR1,Lvl,AllPub,Gilbert,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,0,24,Unf,0,1316,1340,Partial,181134
417,60,RL,74,7844,Pave,Reg,Lvl,AllPub,Sawyer,Norm,Norm,1Fam,2Story,6,7,1978,1978,Hip,203,209,Unf,0,463,672,Normal,149500
418,70,RL,86,22420,Pave,IR1,Lvl,AllPub,Crawfor,Feedr,Norm,1Fam,2Story,6,6,1918,1950,Hip,0,1128,Unf,0,242,1370,Normal,239000
419,50,RL,60,8160,Pave,Reg,Lvl,AllPub,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,0,312,Unf,0,444,756,AdjLand,126000
420,20,RL,65,8450,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,0,775,Unf,0,281,1056,Normal,142000
421,90,RM,78,7060,Pave,Reg,Lvl,AllPub,Mitchel,Norm,Norm,Duplex,SFoyer,7,5,1997,1998,Gable,200,1309,Unf,0,35,1344,Alloca,206300
422,20,RL,NA,16635,Pave,IR1,Lvl,AllPub,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2000,Gable,126,1246,Unf,0,356,1602,Normal,215000
423,20,RL,100,21750,Pave,Reg,HLS,AllPub,Mitchel,Artery,Norm,1Fam,1Story,5,5,1954,1954,Hip,0,0,Unf,0,988,988,Normal,113000
424,60,RL,80,9200,Pave,Reg,Lvl,AllPub,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,473,986,Unf,0,484,1470,Normal,315000
425,20,RL,72,9000,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,6,5,1956,1956,Gable,74,616,Unf,0,580,1196,Normal,139000
426,60,RM,60,3378,Pave,Reg,HLS,AllPub,OldTown,Norm,Norm,1Fam,2Story,7,8,1946,1992,Gable,0,0,Unf,0,651,651,Normal,135000
427,80,RL,NA,12800,Pave,Reg,Low,AllPub,SawyerW,Norm,Norm,1Fam,SLvl,7,5,1989,1989,Gable,145,1518,Unf,0,0,1518,Normal,275000
428,20,RL,77,8593,Pave,IR1,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,4,6,1957,1957,Hip,0,288,Unf,0,619,907,Normal,109008
429,20,RL,64,6762,Pave,Reg,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,108,664,Unf,0,544,1208,Partial,195400
430,20,RL,130,11457,Pave,IR1,Lvl,AllPub,Timber,Norm,Norm,1Fam,1Story,6,5,1988,1988,Gable,0,1005,Unf,0,387,1392,Normal,175000
431,160,RM,21,1680,Pave,Reg,Lvl,AllPub,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,232,387,Unf,0,96,483,Abnorml,85400
432,50,RM,60,5586,Pave,IR1,Bnk,AllPub,OldTown,Feedr,Norm,1Fam,1.5Fin,6,7,1920,1998,Gable,0,0,Unf,0,901,901,Abnorml,79900
433,160,RM,24,1920,Pave,Reg,Lvl,AllPub,BrDale,Norm,Norm,TwnhsE,2Story,5,5,1971,1971,Gable,376,471,Unf,0,294,765,Normal,122500
434,60,RL,100,10839,Pave,IR1,Lvl,AllPub,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1998,Gable,0,0,Unf,0,926,926,Normal,181000
435,180,RM,21,1890,Pave,Reg,Lvl,AllPub,MeadowV,Norm,Norm,Twnhs,SFoyer,4,7,1972,1972,Gable,0,495,Unf,0,135,630,Normal,81000
436,60,RL,43,10667,Pave,IR2,Lvl,AllPub,CollgCr,PosN,Norm,1Fam,2Story,7,6,1996,1996,Gable,0,385,ALQ,344,70,799,Normal,212000
437,50,RM,40,4400,Pave,Reg,Lvl,AllPub,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1920,1950,Gable,0,0,Unf,0,648,648,Normal,116000
438,45,RM,50,6000,Pave,Reg,Lvl,AllPub,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,0,0,Unf,0,884,884,Normal,119000
439,30,RL,40,4280,Pave,Reg,Lvl,AllPub,Crawfor,Norm,Norm,1Fam,1Story,5,6,1913,2002,Gable,0,365,Unf,0,75,440,Normal,90350
440,50,RL,67,12354,Pave,Reg,Lvl,AllPub,Edwards,Norm,Norm,1Fam,1.5Fin,6,8,1920,2000,Gable,0,0,Unf,0,684,684,Normal,110000
441,20,RL,105,15431,Pave,Reg,Lvl,AllPub,NridgHt,Norm,Norm,1Fam,1Story,10,5,2008,2008,Hip,200,1767,ALQ,539,788,3094,Normal,555000
442,90,RL,92,12108,Pave,Reg,Lvl,AllPub,Edwards,Norm,Norm,Duplex,1Story,4,4,1955,1955,Gable,270,133,Unf,0,1307,1440,Normal,118000
443,50,RM,52,6240,Pave,Reg,Lvl,AllPub,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1930,1992,Gable,0,0,Unf,0,1078,1078,Normal,162900
444,120,RL,53,3922,Pave,Reg,Lvl,AllPub,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2007,Gable,72,0,Unf,0,1258,1258,Partial,172500
445,60,RL,70,8750,Pave,Reg,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,2Story,7,5,1994,1995,Gable,0,642,Unf,0,273,915,Normal,210000
446,20,RL,73,9855,Pave,Reg,Lvl,AllPub,Edwards,Norm,Norm,1Fam,1Story,6,5,1956,1956,Hip,0,0,Unf,0,1436,1436,Normal,127500
447,20,RL,137,16492,Pave,IR1,Lvl,AllPub,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,0,247,Rec,713,557,1517,Normal,190000
448,60,RL,NA,11214,Pave,IR1,Lvl,AllPub,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,0,0,Unf,0,930,930,Normal,199900
449,50,RM,50,8600,Pave,Reg,Bnk,AllPub,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,0,0,Unf,0,780,780,Normal,119500
450,50,RM,50,6000,Pave,Reg,Lvl,AllPub,OldTown,Norm,Norm,1Fam,1.5Fin,3,7,1948,2002,Gable,0,331,Unf,0,318,649,Normal,120000
451,30,RM,70,5684,Pave,Reg,Lvl,AllPub,OldTown,Norm,Norm,1Fam,1Story,6,8,1930,2005,Hip,0,0,Unf,0,813,813,Normal,110000
452,20,RL,62,70761,Pave,IR1,Low,AllPub,ClearCr,Norm,Norm,1Fam,1Story,7,5,1975,1975,Gable,0,655,Unf,0,878,1533,Normal,280000
453,60,RL,NA,9303,Pave,IR1,Lvl,AllPub,Timber,Norm,Norm,1Fam,2Story,6,5,1996,1997,Hip,42,742,Unf,0,130,872,Normal,204000
454,60,FV,75,9000,Pave,Reg,Lvl,AllPub,Somerst,Norm,Norm,1Fam,2Story,8,5,2008,2008,Gable,0,0,Unf,0,768,768,Normal,210000
455,90,RL,63,9297,Pave,Reg,Lvl,AllPub,Mitchel,Norm,Norm,Duplex,1Story,5,5,1976,1976,Gable,0,1606,Unf,0,122,1728,Family,188000
456,20,RL,80,9600,Pave,Reg,Lvl,AllPub,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,320,916,Unf,0,326,1242,Normal,175500
457,70,RM,34,4571,Pave,Reg,Lvl,AllPub,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,0,0,Unf,0,624,624,Abnorml,98000
458,20,RL,NA,53227,Pave,IR1,Low,AllPub,ClearCr,Norm,Norm,1Fam,1Story,4,6,1954,1994,Flat,0,1116,Unf,0,248,1364,Normal,256000
459,70,RM,NA,5100,Pave,Reg,Lvl,AllPub,OldTown,Norm,Norm,1Fam,2Story,8,7,1925,1996,Hip,0,0,Unf,0,588,588,Normal,161000
460,50,RL,NA,7015,Pave,IR1,Bnk,AllPub,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1950,1950,Gable,161,185,Unf,0,524,709,Normal,110000
461,60,FV,75,8004,Pave,IR1,Lvl,AllPub,Somerst,RRAn,Norm,1Fam,2Story,8,5,2009,2009,Gable,110,544,Unf,0,288,832,Partial,263435
462,70,RL,60,7200,Pave,Reg,Lvl,AllPub,SWISU,Feedr,Norm,1Fam,2Story,7,9,1936,2007,Gable,0,350,BLQ,210,0,560,Normal,155000
463,20,RL,60,8281,Pave,IR1,Lvl,AllPub,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Gable,0,553,BLQ,311,0,864,Normal,62383
464,70,RL,74,11988,Pave,IR1,HLS,AllPub,Crawfor,Norm,Norm,1Fam,2Story,6,7,1934,1995,Hip,0,326,Unf,0,389,715,Normal,188700
465,20,RL,60,8430,Pave,Reg,HLS,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,5,1978,1978,Gable,136,616,Unf,0,424,1040,Normal,124000
466,120,RM,NA,3072,Pave,Reg,Lvl,AllPub,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Hip,18,0,Unf,0,1375,1375,Normal,178740
467,20,RL,85,10628,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,7,5,1970,1970,Flat,0,778,Unf,0,499,1277,Normal,167000
468,70,RL,79,9480,Pave,Reg,Lvl,AllPub,NAmes,Artery,Norm,1Fam,2Story,5,7,1942,1995,Gable,224,386,Unf,0,342,728,Normal,146500
469,20,RL,98,11428,Pave,IR1,Lvl,AllPub,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,248,0,Unf,0,1626,1626,Normal,250000
470,60,RL,76,9291,Pave,IR1,Lvl,AllPub,SawyerW,RRNe,Norm,1Fam,2Story,6,5,1993,1993,Gable,120,426,Unf,0,406,832,Normal,187000
471,120,RL,NA,6820,Pave,IR1,Lvl,AllPub,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,0,368,BLQ,1120,0,1488,Normal,212000
472,60,RL,92,11952,Pave,Reg,Lvl,AllPub,NWAmes,PosA,Norm,1Fam,2Story,7,6,1977,1977,Mansard,0,0,Unf,0,808,808,Normal,190000
473,180,RM,35,3675,Pave,Reg,Lvl,AllPub,Edwards,Norm,Norm,TwnhsE,SLvl,6,5,2005,2005,Gable,80,459,Unf,0,88,547,Normal,148000
474,20,RL,110,14977,Pave,IR1,Lvl,AllPub,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,2007,Gable,304,1350,Unf,0,626,1976,Partial,440000
475,120,RL,41,5330,Pave,Reg,Lvl,AllPub,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,0,1196,Unf,0,298,1494,Normal,251000
476,20,RL,80,8480,Pave,Reg,Lvl,AllPub,Sawyer,Norm,Norm,1Fam,1Story,5,6,1963,1963,Hip,0,630,Unf,0,340,970,Normal,132500
477,20,RL,75,13125,Pave,Reg,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,1Story,6,5,1997,1998,Gable,215,994,Unf,0,484,1478,Normal,208900
478,60,RL,105,13693,Pave,Reg,Lvl,AllPub,NridgHt,Norm,Norm,1Fam,2Story,9,5,2006,2006,Hip,772,0,Unf,0,2153,2153,Normal,380000
479,20,RL,79,10637,Pave,Reg,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,336,1288,Unf,0,417,1705,Normal,297000
480,30,RM,50,5925,Pave,Reg,Bnk,AllPub,OldTown,Norm,Norm,1Fam,1Story,4,7,1937,2000,Hip,435,168,Unf,0,739,907,Alloca,89471
481,20,RL,98,16033,Pave,IR1,Lvl,AllPub,NridgHt,Norm,Norm,1Fam,1Story,9,5,2004,2005,Hip,378,1261,Unf,0,572,1833,Normal,326000
482,20,RL,72,11846,Pave,IR1,HLS,AllPub,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,562,1567,Unf,0,225,1792,Normal,374000
483,70,RM,50,2500,Pave,Reg,Lvl,AllPub,OldTown,Norm,Norm,1Fam,2Story,7,8,1915,2005,Gable,0,299,Unf,0,611,910,Normal,155000
484,120,RM,32,4500,Pave,Reg,Lvl,AllPub,Mitchel,Norm,Norm,Twnhs,1Story,6,5,1998,1998,Hip,116,897,Unf,0,319,1216,Normal,164000
485,20,RL,NA,7758,Pave,IR1,Lvl,AllPub,Sawyer,Norm,Norm,1Fam,1Story,5,7,1962,2001,Gable,0,588,Unf,0,411,999,Normal,132500
486,20,RL,80,9600,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,7,1950,2007,Gable,0,607,Unf,0,506,1113,Normal,147000
487,20,RL,79,10289,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,7,1965,1965,Hip,168,836,Unf,0,237,1073,Normal,156000
488,20,RL,70,12243,Pave,IR1,Lvl,AllPub,NWAmes,Norm,Norm,1Fam,1Story,5,6,1971,1971,Gable,0,998,Unf,0,486,1484,Normal,175000
489,190,RL,60,10800,Pave,Reg,Lvl,AllPub,OldTown,Norm,Norm,2fmCon,1.5Fin,5,4,1900,1970,Gable,0,664,Unf,0,290,954,Normal,160000
490,180,RM,21,1526,Pave,Reg,Lvl,AllPub,MeadowV,Norm,Norm,Twnhs,SFoyer,4,8,1970,2002,Gable,0,515,Unf,0,115,630,Normal,86000
491,160,RM,NA,2665,Pave,Reg,Lvl,AllPub,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1976,1976,Gable,0,0,Unf,0,264,264,Normal,115000
492,50,RL,79,9490,Pave,Reg,Lvl,AllPub,NAmes,Artery,Norm,1Fam,1.5Fin,6,7,1941,1950,Gable,0,403,Rec,165,238,806,Normal,133000
493,60,RL,105,15578,Pave,IR1,Lvl,AllPub,Gilbert,Norm,Norm,1Fam,2Story,6,5,2006,2006,Gable,0,0,Unf,0,728,728,Partial,172785
494,20,RL,70,7931,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,0,374,LwQ,532,363,1269,Normal,155000
495,30,RM,50,5784,Pave,Reg,Lvl,AllPub,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,0,0,Unf,0,190,190,Normal,91300
496,30,C (all),60,7879,Pave,Reg,Lvl,AllPub,IDOTRR,Norm,Norm,1Fam,1Story,4,5,1920,1950,Gable,0,495,Unf,0,225,720,Abnorml,34900
497,20,RL,NA,12692,Pave,IR1,Lvl,AllPub,NoRidge,Norm,Norm,1Fam,1Story,8,5,1992,1993,Hip,0,1231,Unf,0,1969,3200,Normal,430000
498,50,RL,60,9120,Pave,Reg,Lvl,AllPub,BrkSide,Norm,Norm,1Fam,1.5Fin,7,6,1925,1950,Gable,0,329,Unf,0,697,1026,Normal,184000
499,20,RL,65,7800,Pave,Reg,Lvl,AllPub,Sawyer,Norm,Norm,1Fam,1Story,5,7,1967,2004,Hip,89,450,Unf,0,414,864,Normal,130000
500,20,RL,70,7535,Pave,IR1,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,7,1958,1985,Gable,0,111,LwQ,279,522,912,Normal,120000
501,160,RM,21,1890,Pave,Reg,Lvl,AllPub,BrDale,Norm,Norm,Twnhs,2Story,6,5,1973,1973,Gable,285,356,Unf,0,316,672,Normal,113000
502,60,FV,75,9803,Pave,Reg,Lvl,AllPub,Somerst,Norm,Norm,1Fam,2Story,7,5,2005,2005,Gable,0,400,Unf,0,466,866,Normal,226700
503,20,RL,70,9170,Pave,Reg,Lvl,AllPub,Edwards,Feedr,Norm,1Fam,1Story,5,7,1965,1965,Hip,0,698,GLQ,96,420,1214,Normal,140000
504,20,RL,100,15602,Pave,IR1,Lvl,AllPub,Crawfor,Norm,Norm,1Fam,1Story,7,8,1959,1997,Gable,0,1247,Unf,0,254,1501,Normal,289000
505,160,RL,24,2308,Pave,Reg,Lvl,AllPub,NPkVill,Norm,Norm,TwnhsE,2Story,6,5,1974,1974,Gable,0,257,Rec,495,103,855,Normal,147000
506,90,RM,60,7596,Pave,Reg,Lvl,AllPub,OldTown,Artery,Norm,Duplex,2Story,5,5,1952,1952,Hip,360,0,Unf,0,960,960,Normal,124500
507,60,RL,80,9554,Pave,IR1,Lvl,AllPub,SawyerW,Norm,Norm,1Fam,2Story,8,5,1993,1994,Gable,125,380,Unf,0,397,777,Normal,215000
508,20,FV,75,7862,Pave,IR1,Lvl,AllPub,Somerst,Norm,Norm,1Fam,1Story,6,5,2009,2009,Gable,0,27,Unf,0,1191,1218,Partial,208300
509,70,RM,60,9600,Pave,Reg,Lvl,AllPub,OldTown,Norm,Norm,1Fam,2Story,7,9,1928,2005,Gambrel,0,141,Unf,0,548,689,Normal,161000
510,20,RL,80,9600,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,132,991,Unf,0,50,1041,Normal,124500
511,20,RL,75,14559,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Hip,70,650,Rec,180,178,1008,Normal,164900
512,120,RL,40,6792,Pave,IR1,Lvl,AllPub,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,94,0,Unf,0,1368,1368,Partial,202665
513,20,RL,70,9100,Pave,Reg,Lvl,AllPub,NAmes,Feedr,Norm,1Fam,1Story,5,5,1958,1958,Gable,0,521,LwQ,174,169,864,Normal,129900
514,20,RL,71,9187,Pave,Reg,Bnk,AllPub,Mitchel,Norm,Norm,1Fam,1Story,6,5,1983,1983,Gable,0,336,Unf,0,748,1084,Normal,134000
515,45,RL,55,10594,Pave,Reg,Lvl,AllPub,Crawfor,Norm,Norm,1Fam,1.5Unf,5,5,1926,1950,Gable,0,0,Unf,0,768,768,Normal,96500
516,20,RL,94,12220,Pave,Reg,Lvl,AllPub,NridgHt,Norm,Norm,1Fam,1Story,10,5,2009,2009,Hip,305,1436,Unf,0,570,2006,Partial,402861
517,80,RL,NA,10448,Pave,IR1,Lvl,AllPub,NWAmes,Norm,Norm,1Fam,SLvl,6,6,1972,1972,Gable,333,0,Unf,0,689,689,Abnorml,158000
518,60,RL,79,10208,Pave,IR1,Lvl,AllPub,NoRidge,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,921,0,Unf,0,1264,1264,Normal,265000
519,60,RL,NA,9531,Pave,IR1,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,0,706,Unf,0,88,794,Normal,211000
